"航天科学与工程学院"
"宇航科学与工程系"
"高超声速飞行器技术研究中心"
"航天系"
"空间技术研究所"
"材料工程与应用化学系"
"新型陶瓷纤维及其复合材料国家重点实验室"
"理学院"
"数学与系统科学系"
"物理系"
"化学与生物学系"
"技术物理研究所"
"机电工程与自动化学院"
"自动控制系"
"仪器科学与技术系"
"机电工程系"
"机电工程研究所"
"自动化研究所"
"电子科学与工程学院"
"电子科学与技术系"
"通信工程系"
"信息工程系"
"综合电子信息系统研究所"
"空间电子信息技术研究所"
"自动目标识别国家重点实验室"
"信息系统与管理学院"
"系统工程系"
"指挥自动化系"
"管理系"
"战略研究所"
"信息系统工程重点实验室"
"计算机学院"
"计算机科学与技术系"
"网络工程系"
"计算机研究所"
"软件研究所"
"微电子与微处理器研究所"
"网络与信息安全研究所"
"并行与分布处理国家重点实验室"
"光电科学与工程学院"
"光信息科学与技术系"
"光电工程系"
"定向能技术研究所"
"人文与社会科学学院"
"外语系"
"社会科学系"
"人文科学系"
"军队政工研究所"
"指挥军官基础教育学院"
"军事高科技培训学院"
